Sample	Top over-represented sequence	Sum of remaining over-represented sequences
20210602-MA-MBS1F_S67_L001_R1_001	16.641857695742782	68.56207204525155
20210602-MA-MBS1F_S67_L001_R2_001	28.31199761833879	53.15570110151829
20210602-MA-MBS1P_S30_L001_R1_001	14.989626556016598	72.5622406639005
20210602-MA-MBS1P_S30_L001_R2_001	26.86721991701245	58.143153526971005
20210602-MA-MBS1W_S46_L001_R1_001	16.130705394190873	68.03250345781464
20210602-MA-MBS1W_S46_L001_R2_001	29.132088520055326	51.19294605809123
20210602-MA-SCB1F_S54_L001_R1_001	7.934106572533199	76.8364430996806
20210602-MA-SCB1F_S54_L001_R2_001	12.086064884854597	67.35585812741628
20210602-MA-SCB1P_S5_L001_R1_001	9.802631578947368	68.00438596491227
20210602-MA-SCB1P_S5_L001_R2_001	9.364035087719298	63.530701754386016
20210602-MA-SCB1W_S32_L001_R1_001	7.258423630696155	75.12245806738909
20210602-MA-SCB1W_S32_L001_R2_001	11.191925189253377	67.59685319875314
20210602-MA-SCS1F_S53_L001_R1_001	9.38736234363306	74.28632524323756
20210602-MA-SCS1F_S53_L001_R2_001	14.808082968031647	64.79204533304832
20210602-MA-SCS1P_S88_L001_R1_001	11.462352209085253	64.38083385189788
20210602-MA-SCS1P_S88_L001_R2_001	18.618543870566274	53.73988799004357
20210602-MA-SCS1W_S42_L001_R1_001	12.368087800759813	72.41452089489242
20210602-MA-SCS1W_S42_L001_R2_001	19.33305192064162	60.91177712114823
20210615-MA-ABB2F_S55_L001_R1_001	19.86362288763712	73.96975985769342
20210615-MA-ABB2F_S55_L001_R2_001	36.46605395790098	54.372961755114204
20210615-MA-ABB2P_S17_L001_R1_001	15.227722772277227	59.46534653465353
20210615-MA-ABB2P_S17_L001_R2_001	27.524752475247528	44.831683168316815
20210615-MA-ABB2W_S92_L001_R1_001	16.872748515237078	63.41154707428677
20210615-MA-ABB2W_S92_L001_R2_001	29.627105442508032	47.68766429753679
20210615-MA-ABS1F_S33_L001_R1_001	12.092686459087618	69.02606806661846
20210615-MA-ABS1F_S33_L001_R2_001	21.81390296886314	56.191165821868374
20210615-MA-ABS1P_S29_L001_R1_001	15.19320843091335	62.19262295081966
20210615-MA-ABS1P_S29_L001_R2_001	27.166276346604217	47.80444964871198
20210615-MA-ABS1W_S10_L001_R1_001	9.456217512994803	71.39144342263093
20210615-MA-ABS1W_S10_L001_R2_001	18.152738904438227	59.556177528988385
20210615-MA-CEB1F_S91_L001_R1_001	11.944444444444445	69.69576719576716
20210615-MA-CEB1F_S91_L001_R2_001	21.23015873015873	55.99206349206344
20210615-MA-CEB1P_S21_L001_R1_001	14.734386216798276	65.39842067480248
20210615-MA-CEB1P_S21_L001_R2_001	25.843503230437904	49.62311557788924
20210615-MA-CEB1W_S59_L001_R1_001	10.963309457681627	69.37582224820937
20210615-MA-CEB1W_S59_L001_R2_001	20.289431369682795	56.219850898991446
20210615-MA-CES1F_S57_L001_R1_001	12.094189772885606	68.7195206910965
20210615-MA-CES1F_S57_L001_R2_001	21.582834053225582	55.32952487111601
20210615-MA-CES1P_S40_L001_R1_001	11.674222797927461	64.50777202072531
20210615-MA-CES1P_S40_L001_R2_001	20.466321243523318	49.99999999999988
20210615-MA-CES1W_S22_L001_R1_001	10.592938041305796	69.73684210526312
20210615-MA-CES1W_S22_L001_R2_001	19.570286475682877	56.562291805462976
20210615-MA-CWB1F_S9_L001_R1_001	7.954545454545454	72.60101010101015
20210615-MA-CWB1F_S9_L001_R2_001	14.303751803751805	60.58802308802315
20210615-MA-CWB1P_S80_L001_R1_001	11.019773383692513	66.78515885358816
20210615-MA-CWB1P_S80_L001_R2_001	19.084647856031992	50.7998222617196
20210615-MA-CWB1W_S35_L001_R1_001	10.418937860146395	69.03909048434815
20210615-MA-CWB1W_S35_L001_R2_001	19.35835539635571	55.567668587447415
20210615-MA-CWS1F_S81_L001_R1_001	8.590182648401827	71.11872146118723
20210615-MA-CWS1F_S81_L001_R2_001	14.64041095890411	55.73630136986313
20210615-MA-CWS1P_S66_L001_R1_001	12.436857690297858	67.39244034140397
20210615-MA-CWS1P_S66_L001_R2_001	22.139000174185682	52.81309876328176
20210615-MA-CWS1W_S82_L001_R1_001	12.363449428094075	68.16604549543786
20210615-MA-CWS1W_S82_L001_R2_001	20.935612389153064	50.9574604806582
20210615-MA-MBB1F_S69_L001_R1_001	16.597982094642603	67.17351143953387
20210615-MA-MBB1F_S69_L001_R2_001	28.16541139690209	52.06764246127612
20210615-MA-MBB1P_S90_L001_R1_001	18.063410454155957	62.896315338474565
20210615-MA-MBB1P_S90_L001_R2_001	32.2879177377892	46.20394173093389
20210615-MA-MBB1W_S71_L001_R1_001	17.312865959803766	65.42174394682701
20210615-MA-MBB1W_S71_L001_R2_001	31.58727646779554	47.4758664345624
20210615-MA-MBS1F_S23_L001_R1_001	18.990868286642932	64.4482278285096
20210615-MA-MBS1F_S23_L001_R2_001	33.04442036836403	46.13836867358003
20210615-MA-MBS1P_S89_L001_R1_001	16.234498308906424	64.34611048478007
20210615-MA-MBS1P_S89_L001_R2_001	29.67869222096956	48.53438556933484
20210615-MA-MBS1W_S83_L001_R1_001	16.24203821656051	67.10828025477701
20210615-MA-MBS1W_S83_L001_R2_001	27.910828025477706	45.38853503184715
20210615-MA-SCB2F_S86_L001_R1_001	30.0	70.0
20210615-MA-SCB2F_S86_L001_R2_001	20.0	80.0
20210615-MA-SCB2P_S76_L001_R1_001	7.54985754985755	65.5698005698006
20210615-MA-SCB2P_S76_L001_R2_001	6.50997150997151	57.80626780626781
20210615-MA-SCB2W_S20_L001_R1_001	7.613967022308439	75.7840284513417
20210615-MA-SCB2W_S20_L001_R2_001	8.341416100872939	71.22534755900423
20210615-MA-SCS2F_S19_L001_R1_001	7.255389718076286	78.58623548922054
20210615-MA-SCS2F_S19_L001_R2_001	10.509950248756219	70.3565505804311
20210615-MA-SCS2P_S1_L001_R1_001	18.55958349402237	68.99344388738916
20210615-MA-SCS2P_S1_L001_R2_001	17.248360971847283	69.04165059776321
20210615-MA-SCS2W_S43_L001_R1_001	8.254999145445224	76.85865663989051
20210615-MA-SCS2W_S43_L001_R2_001	10.305930610152112	69.42403008032808
20211005-MA-ABB2F_S3_L001_R1_001	16.116594694632944	63.032078963602764
20211005-MA-ABB2F_S3_L001_R2_001	26.03331276989513	48.95126465144979
20211005-MA-ABB2P_S49_L001_R1_001	14.239816408491107	59.63281698221459
20211005-MA-ABB2P_S49_L001_R2_001	26.08146873207114	45.01434308663218
20211005-MA-ABB2W_S64_L001_R1_001	16.623544631306597	63.16946959896508
20211005-MA-ABB2W_S64_L001_R2_001	27.98188874514877	48.31824062095734
20211005-MA-ABS1F_S15_L001_R1_001	14.80830109039747	64.29827646851908
20211005-MA-ABS1F_S15_L001_R2_001	25.378121702427016	51.61800914526908
20211005-MA-ABS1P_S13_L001_R1_001	16.36217948717949	58.397435897436
20211005-MA-ABS1P_S13_L001_R2_001	29.19871794871795	44.87179487179497
20211005-MA-ABS1W_S16_L001_R1_001	15.676438313215238	63.77175105815959
20211005-MA-ABS1W_S16_L001_R2_001	27.794325129330616	49.08292835867698
20211005-MA-CEB1F_S39_L001_R1_001	10.2882159795695	66.34439985406785
20211005-MA-CEB1F_S39_L001_R2_001	16.800437796424664	56.60342940532648
20211005-MA-CEB1P_S62_L001_R1_001	12.537640295647412	61.15521489186971
20211005-MA-CEB1P_S62_L001_R2_001	21.516561730084863	47.90583082398035
20211005-MA-CEB1W_S72_L001_R1_001	8.90530557421088	67.48153122901289
20211005-MA-CEB1W_S72_L001_R2_001	13.498992612491605	57.81061114842181
20211005-MA-CES2F_S74_L001_R1_001	14.020292528659903	65.06786137831081
20211005-MA-CES2F_S74_L001_R2_001	24.58821979180393	46.73870075108716
20211005-MA-CES2P_S61_L001_R1_001	19.08467422843577	57.97942495383785
20211005-MA-CES2P_S61_L001_R2_001	37.74729622790821	38.09021366394076
20211005-MA-CES2W_S7_L001_R1_001	15.771929824561404	62.50877192982478
20211005-MA-CES2W_S7_L001_R2_001	29.912280701754383	45.175438596491475
20211005-MA-CWB1F_S14_L001_R1_001	5.960040636640705	69.94581781239407
20211005-MA-CWB1F_S14_L001_R2_001	10.447003047748053	58.550626481544086
20211005-MA-CWB1P_S50_L001_R1_001	6.54436408537661	65.90227553360384
20211005-MA-CWB1P_S50_L001_R2_001	11.024872111483507	52.79590756747221
20211005-MA-CWB1W_S38_L001_R1_001	5.734347571679345	67.21279500682658
20211005-MA-CWB1W_S38_L001_R2_001	10.298420128730251	53.891164423639545
20211005-MA-CWS1F_S73_L001_R1_001	6.062182906205281	70.7298035644594
20211005-MA-CWS1F_S73_L001_R2_001	10.290100169116691	56.62807337062572
20211005-MA-CWS1P_S37_L001_R1_001	7.615195216320787	65.61730566303196
20211005-MA-CWS1P_S37_L001_R2_001	13.577207175518819	51.95216320787917
20211005-MA-CWS1W_S2_L001_R1_001	6.868184427013584	68.24182131241636
20211005-MA-CWS1W_S2_L001_R2_001	12.110197053759327	55.59594413621574
20211005-MA-MBB1F_S4_L001_R1_001	14.291292463881296	64.85747754783283
20211005-MA-MBB1F_S4_L001_R2_001	23.883899518417284	51.5553820122347
20211005-MA-MBB1P_S85_L001_R1_001	19.351066939491375	56.74753970573906
20211005-MA-MBB1P_S85_L001_R2_001	33.47948942804248	40.25138848289976
20211005-MA-MBB1W_S56_L001_R1_001	16.515903122264373	63.33041532924817
20211005-MA-MBB1W_S56_L001_R2_001	28.82015368154849	47.64128003112546
20211005-MA-MBS1F_S48_L001_R1_001	17.820571603240104	62.98334097508792
20211005-MA-MBS1F_S48_L001_R2_001	29.665291150848233	46.24789851749968
20211005-MA-MBS1P_S26_L001_R1_001	17.511594434671355	58.21205821205821
20211005-MA-MBS1P_S26_L001_R2_001	31.280985127138973	41.9318727011035
20211005-MA-MBS1W_S60_L001_R1_001	14.601605929586164	64.43483631871533
20211005-MA-MBS1W_S60_L001_R2_001	25.027794935145153	49.63557751698579
20211005-MA-SCB1F_S51_L001_R1_001	13.378081240597153	71.33433630366845
20211005-MA-SCB1F_S51_L001_R2_001	12.903599120472167	68.91563476449485
20211005-MA-SCB1P_S27_L001_R1_001	15.959885386819483	65.65902578796563
20211005-MA-SCB1P_S27_L001_R2_001	15.916905444126076	62.75071633237826
20211005-MA-SCB1W_S95_L001_R1_001	4.60679385760819	67.11261051651937
20211005-MA-SCB1W_S95_L001_R2_001	7.829222894369474	57.782689623080564
20211005-MA-SCS2F_S63_L001_R1_001	15.235567352355673	69.70139349701402
20211005-MA-SCS2F_S63_L001_R2_001	15.766423357664234	66.51625746516255
20211005-MA-SCS2P_S25_L001_R1_001	11.179577464788732	70.87734741784034
20211005-MA-SCS2P_S25_L001_R2_001	13.160211267605634	68.25117370892019
20211005-MA-SCS2W_S75_L001_R1_001	15.006116623623761	68.45181459834168
20211005-MA-SCS2W_S75_L001_R2_001	13.551719450863123	62.53907842870732
3um-Control_S24_L001_R1_001	44.58073384794332	49.68806175319868
3um-Control_S24_L001_R2_001	76.17637728666597	15.945860209368732
CJ-V08-P_S52_L001_R1_001	15.595153243050605	58.6315039201711
CJ-V08-P_S52_L001_R2_001	21.767640769779046	49.80755523877406
DNA-Ext-Control_S12_L001_R1_001	41.446474407368264	52.378076400422735
DNA-Ext-Control_S12_L001_R2_001	74.86033519553072	17.590215914238186
MockZymoPos_S84_L001_R1_001	12.667860340196956	78.9055505819157
MockZymoPos_S84_L001_R2_001	12.958818263205012	69.74037600716197
WaterControl_S96_L001_R1_001	46.74590802805923	48.11964146531567
WaterControl_S96_L001_R2_001	86.29189399844115	6.362042088854253
