Sample	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-percent_gc	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-median_sequence_length	FastQC_mqc-generalstats-fastqc-percent_fails	FastQC_mqc-generalstats-fastqc-total_sequences
20210602-MA-CEB1P_S87_L001_R2_001	84.94864366605215	52.0	251.0	251	36.36363636363637	7594.0
20210602-MA-CEB1W_S94_L001_R1_001	85.73970165594635	50.0	251.0	251	63.63636363636363	7307.0
20210602-MA-CEB1W_S94_L001_R2_001	82.15409880936089	51.0	251.0	251	36.36363636363637	7307.0
20210602-MA-CES1F_S79_L001_R1_001	87.42992033048097	52.0	251.0	251	63.63636363636363	6778.0
20210602-MA-CES1F_S79_L001_R2_001	81.0858660371791	53.0	251.0	251	36.36363636363637	6778.0
20210602-MA-CES1P_S41_L001_R1_001	85.28690534575773	51.0	251.0	251	63.63636363636363	6117.0
20210602-MA-CES1P_S41_L001_R2_001	82.18080758541768	52.0	251.0	251	36.36363636363637	6117.0
20210602-MA-CES1W_S47_L001_R1_001	86.8147120055517	52.0	251.0	251	63.63636363636363	5764.0
20210602-MA-CES1W_S47_L001_R2_001	82.07841776544066	53.0	251.0	251	36.36363636363637	5764.0
20210602-MA-CWB1F_S18_L001_R1_001	80.9073265405143	52.0	251.0	251	63.63636363636363	4122.0
20210602-MA-CWB1F_S18_L001_R2_001	76.49199417758369	53.0	251.0	251	36.36363636363637	4122.0
20210602-MA-CWB1P_S44_L001_R1_001	84.70048996364785	51.0	251.0	251	63.63636363636363	6327.0
20210602-MA-CWB1P_S44_L001_R2_001	79.67441125335861	52.0	251.0	251	36.36363636363637	6327.0
20210602-MA-CWB1W_S11_L001_R1_001	84.64295195115477	51.0	251.0	251	63.63636363636363	7534.0
20210602-MA-CWB1W_S11_L001_R2_001	80.20971595434033	52.0	251.0	251	36.36363636363637	7534.0
20210602-MA-CWS1F_S77_L001_R1_001	84.27838827838828	53.0	251.0	251	63.63636363636363	6825.0
20210602-MA-CWS1F_S77_L001_R2_001	74.4029304029304	54.0	251.0	251	36.36363636363637	6825.0
20210602-MA-CWS1P_S78_L001_R1_001	79.29075235109718	52.0	251.0	251	63.63636363636363	5104.0
20210602-MA-CWS1P_S78_L001_R2_001	69.96473354231975	52.0	251.0	251	36.36363636363637	5104.0
20210602-MA-CWS1W_S70_L001_R1_001	83.99664851277754	53.0	251.0	251	63.63636363636363	7161.0
20210602-MA-CWS1W_S70_L001_R2_001	78.32704929479124	53.0	251.0	251	36.36363636363637	7161.0
20210602-MA-MBB1F_S68_L001_R1_001	89.64353227113152	51.0	251.0	251	63.63636363636363	7406.0
20210602-MA-MBB1F_S68_L001_R2_001	86.59195247096949	52.0	251.0	251	36.36363636363637	7406.0
20210602-MA-MBB1P_S6_L001_R1_001	84.38818565400844	51.0	251.0	251	63.63636363636363	3792.0
20210602-MA-MBB1P_S6_L001_R2_001	82.04113924050633	52.0	251.0	251	36.36363636363637	3792.0
20210602-MA-MBB1W_S34_L001_R1_001	87.40204942736588	51.0	251.0	251	63.63636363636363	4977.0
20210602-MA-MBB1W_S34_L001_R2_001	84.42837050431987	52.0	251.0	251	36.36363636363637	4977.0
20210602-MA-MBS1F_S67_L001_R1_001	88.68710925870795	51.0	251.0	251	63.63636363636363	6718.0
20210602-MA-MBS1F_S67_L001_R2_001	85.81423042572195	52.0	251.0	251	36.36363636363637	6718.0
20210602-MA-MBS1P_S30_L001_R1_001	87.81120331950207	50.0	251.0	251	63.63636363636363	3856.0
20210602-MA-MBS1P_S30_L001_R2_001	84.93257261410788	51.0	251.0	251	36.36363636363637	3856.0
20210602-MA-MBS1W_S46_L001_R1_001	87.70746887966806	51.0	251.0	251	63.63636363636363	5784.0
20210602-MA-MBS1W_S46_L001_R2_001	84.38796680497926	52.0	251.0	251	36.36363636363637	5784.0
20210602-MA-SCB1F_S54_L001_R1_001	86.93898134140191	51.0	251.0	251	63.63636363636363	5949.0
20210602-MA-SCB1F_S54_L001_R2_001	82.83745167255	52.0	251.0	251	36.36363636363637	5949.0
20210602-MA-SCB1P_S5_L001_R1_001	81.64473684210526	49.0	251.0	251	63.63636363636363	4560.0
20210602-MA-SCB1P_S5_L001_R2_001	77.71929824561403	50.0	251.0	251	36.36363636363637	4560.0
20210602-MA-SCB1W_S32_L001_R1_001	86.55187769036664	51.0	251.0	251	63.63636363636363	6737.0
20210602-MA-SCB1W_S32_L001_R2_001	83.1082084013656	52.0	251.0	251	36.36363636363637	6737.0
20210602-MA-SCS1F_S53_L001_R1_001	88.69881321501123	51.0	251.0	251	63.63636363636363	9353.0
20210602-MA-SCS1F_S53_L001_R2_001	85.20260878862398	52.0	251.0	251	36.36363636363637	9353.0
20210602-MA-SCS1P_S88_L001_R1_001	84.6670815183572	50.0	251.0	251	63.63636363636363	8035.0
20210602-MA-SCS1P_S88_L001_R2_001	80.77162414436839	51.0	251.0	251	36.36363636363637	8035.0
20210602-MA-SCS1W_S42_L001_R1_001	86.23891937526383	51.0	251.0	251	63.63636363636363	4738.0
20210602-MA-SCS1W_S42_L001_R2_001	81.97551709582102	52.0	251.0	251	36.36363636363637	4738.0
20210615-MA-ABB2F_S55_L001_R1_001	92.76608360509931	52.0	251.0	251	63.63636363636363	3373.0
20210615-MA-ABB2F_S55_L001_R2_001	90.60183812629707	52.0	251.0	251	36.36363636363637	3373.0
20210615-MA-ABB2P_S17_L001_R1_001	81.64356435643565	52.0	251.0	251	63.63636363636363	5050.0
20210615-MA-ABB2P_S17_L001_R2_001	78.49504950495049	53.0	251.0	251	36.36363636363637	5050.0
20210615-MA-ABB2W_S92_L001_R1_001	87.82981209229871	52.0	251.0	251	63.63636363636363	10271.0
20210615-MA-ABB2W_S92_L001_R2_001	85.07448154999513	52.0	251.0	251	36.36363636363637	10271.0
20210615-MA-ABS1F_S33_L001_R1_001	85.15568428674874	51.0	251.0	251	63.63636363636363	5524.0
20210615-MA-ABS1F_S33_L001_R2_001	82.40405503258509	52.0	251.0	251	36.36363636363637	5524.0
20210615-MA-ABS1P_S29_L001_R1_001	84.42622950819673	52.0	251.0	251	63.63636363636363	6832.0
20210615-MA-ABS1P_S29_L001_R2_001	81.1768149882904	53.0	251.0	251	36.36363636363637	6832.0
20210615-MA-ABS1W_S10_L001_R1_001	85.765693722511	51.0	251.0	251	63.63636363636363	5002.0
20210615-MA-ABS1W_S10_L001_R2_001	82.22710915633746	52.0	251.0	251	36.36363636363637	5002.0
20210615-MA-CEB1F_S91_L001_R1_001	87.31481481481481	52.0	251.0	251	63.63636363636363	7560.0
20210615-MA-CEB1F_S91_L001_R2_001	83.22751322751323	52.0	251.0	251	36.36363636363637	7560.0
20210615-MA-CEB1P_S21_L001_R1_001	84.63747307968414	52.0	251.0	251	63.63636363636363	5572.0
20210615-MA-CEB1P_S21_L001_R2_001	80.59942569992822	53.0	251.0	251	36.36363636363637	5572.0
20210615-MA-CEB1W_S59_L001_R1_001	85.74769770501389	51.0	251.0	251	63.63636363636363	6841.0
20210615-MA-CEB1W_S59_L001_R2_001	82.16634994883789	52.0	251.0	251	36.36363636363637	6841.0
20210615-MA-CES1F_S57_L001_R1_001	86.76327156193395	52.0	251.0	251	63.63636363636363	7177.0
20210615-MA-CES1F_S57_L001_R2_001	83.07092099763132	53.0	251.0	251	36.36363636363637	7177.0
20210615-MA-CES1P_S40_L001_R1_001	83.40349740932642	51.0	251.0	251	63.63636363636363	6176.0
20210615-MA-CES1P_S40_L001_R2_001	78.52979274611398	52.0	251.0	251	36.36363636363637	6176.0
20210615-MA-CES1W_S22_L001_R1_001	85.709526982012	51.0	251.0	251	63.63636363636363	6004.0
20210615-MA-CES1W_S22_L001_R2_001	81.99533644237175	52.0	251.0	251	36.36363636363637	6004.0
20210615-MA-CWB1F_S9_L001_R1_001	84.68614718614718	52.0	251.0	251	63.63636363636363	5544.0
20210615-MA-CWB1F_S9_L001_R2_001	80.1948051948052	52.0	251.0	251	36.36363636363637	5544.0
20210615-MA-CWB1P_S80_L001_R1_001	86.19195734281271	52.0	251.0	251	63.63636363636363	9002.0
20210615-MA-CWB1P_S80_L001_R2_001	79.38235947567208	53.0	251.0	251	36.36363636363637	9002.0
20210615-MA-CWB1W_S35_L001_R1_001	85.37610964024296	52.0	251.0	251	63.63636363636363	6421.0
20210615-MA-CWB1W_S35_L001_R2_001	81.01541815916524	53.0	251.0	251	36.36363636363637	6421.0
20210615-MA-CWS1F_S81_L001_R1_001	86.287100456621	52.0	251.0	251	63.63636363636363	7008.0
20210615-MA-CWS1F_S81_L001_R2_001	77.68264840182648	53.0	251.0	251	36.36363636363637	7008.0
20210615-MA-CWS1P_S66_L001_R1_001	84.8458456714858	52.0	251.0	251	63.63636363636363	5741.0
20210615-MA-CWS1P_S66_L001_R2_001	80.66538930499914	53.0	251.0	251	36.36363636363637	5741.0
20210615-MA-CWS1W_S82_L001_R1_001	86.27425780747976	52.0	251.0	251	63.63636363636363	7781.0
20210615-MA-CWS1W_S82_L001_R2_001	79.28286852589642	53.0	251.0	251	36.36363636363637	7781.0
20210615-MA-MBB1F_S69_L001_R1_001	88.70257211880062	51.0	251.0	251	63.63636363636363	7037.0
20210615-MA-MBB1F_S69_L001_R2_001	85.10729003836863	52.0	251.0	251	36.36363636363637	7037.0
20210615-MA-MBB1P_S90_L001_R1_001	85.39845758354755	51.0	251.0	251	63.63636363636363	5835.0
20210615-MA-MBB1P_S90_L001_R2_001	82.5878320479863	52.0	251.0	251	36.36363636363637	5835.0
20210615-MA-MBB1W_S71_L001_R1_001	87.21316664029118	51.0	251.0	251	63.63636363636363	6319.0
20210615-MA-MBB1W_S71_L001_R2_001	83.4942237695838	52.0	251.0	251	36.36363636363637	6319.0
20210615-MA-MBS1F_S23_L001_R1_001	88.19068255687974	52.0	251.0	251	63.63636363636363	6461.0
20210615-MA-MBS1F_S23_L001_R2_001	83.91889800340505	53.0	251.0	251	36.36363636363637	6461.0
20210615-MA-MBS1P_S89_L001_R1_001	86.13303269447576	50.0	251.0	251	63.63636363636363	7096.0
20210615-MA-MBS1P_S89_L001_R2_001	83.76550169109358	51.0	251.0	251	36.36363636363637	7096.0
20210615-MA-MBS1W_S83_L001_R1_001	87.61783439490446	51.0	251.0	251	63.63636363636363	7850.0
20210615-MA-MBS1W_S83_L001_R2_001	79.49044585987261	52.0	251.0	251	36.36363636363637	7850.0
20210615-MA-SCB2F_S86_L001_R1_001	20.0	49.0	251.0	251	45.45454545454545	10.0
20210615-MA-SCB2F_S86_L001_R2_001	10.0	51.0	251.0	251	27.27272727272727	10.0
20210615-MA-SCB2P_S76_L001_R1_001	82.72079772079772	50.0	251.0	251	63.63636363636363	7020.0
20210615-MA-SCB2P_S76_L001_R2_001	74.2022792022792	51.0	251.0	251	36.36363636363637	7020.0
20210615-MA-SCB2W_S20_L001_R1_001	87.34238603297769	50.0	251.0	251	63.63636363636363	6186.0
20210615-MA-SCB2W_S20_L001_R2_001	83.2848367280957	51.0	251.0	251	36.36363636363637	6186.0
20210615-MA-SCS2F_S19_L001_R1_001	87.893864013267	51.0	251.0	251	63.63636363636363	4824.0
20210615-MA-SCS2F_S19_L001_R2_001	82.85655058043118	51.0	251.0	251	36.36363636363637	4824.0
20210615-MA-SCS2P_S1_L001_R1_001	92.0844581565754	46.0	251.0	251	63.63636363636363	10372.0
20210615-MA-SCS2P_S1_L001_R2_001	89.53914384882376	47.0	251.0	251	36.36363636363637	10372.0
20210615-MA-SCS2W_S43_L001_R1_001	87.93368654930781	51.0	251.0	251	63.63636363636363	5851.0
20210615-MA-SCS2W_S43_L001_R2_001	83.42163732695266	51.0	251.0	251	36.36363636363637	5851.0
20211005-MA-ABB2F_S3_L001_R1_001	85.47193090684763	52.0	251.0	251	63.63636363636363	6484.0
20211005-MA-ABB2F_S3_L001_R2_001	81.89389265885256	53.0	251.0	251	36.36363636363637	6484.0
20211005-MA-ABB2P_S49_L001_R1_001	83.53413654618474	51.0	251.0	251	63.63636363636363	8715.0
20211005-MA-ABB2P_S49_L001_R2_001	80.13769363166953	52.0	251.0	251	36.36363636363637	8715.0
20211005-MA-ABB2W_S64_L001_R1_001	86.97283311772316	52.0	251.0	251	63.63636363636363	7730.0
20211005-MA-ABB2W_S64_L001_R2_001	83.38939197930142	53.0	251.0	251	36.36363636363637	7730.0
20211005-MA-ABS1F_S15_L001_R1_001	84.18923672177277	52.0	251.0	251	63.63636363636363	5686.0
20211005-MA-ABS1F_S15_L001_R2_001	82.14913823425958	52.0	251.0	251	36.36363636363637	5686.0
20211005-MA-ABS1P_S13_L001_R1_001	82.9326923076923	51.0	251.0	251	63.63636363636363	6240.0
20211005-MA-ABS1P_S13_L001_R2_001	80.57692307692308	52.0	251.0	251	36.36363636363637	6240.0
20211005-MA-ABS1W_S16_L001_R1_001	85.0760307258191	52.0	251.0	251	63.63636363636363	6379.0
20211005-MA-ABS1W_S16_L001_R2_001	82.53644771907823	53.0	251.0	251	36.36363636363637	6379.0
20211005-MA-CEB1F_S39_L001_R1_001	81.94089748267055	52.0	251.0	251	63.63636363636363	5482.0
20211005-MA-CEB1F_S39_L001_R2_001	78.23786939073331	52.0	251.0	251	36.36363636363637	5482.0
20211005-MA-CEB1P_S62_L001_R1_001	81.98740761018341	52.0	251.0	251	63.63636363636363	7306.0
20211005-MA-CEB1P_S62_L001_R2_001	78.6339994525048	52.0	251.0	251	36.36363636363637	7306.0
20211005-MA-CEB1W_S72_L001_R1_001	83.5191403626595	51.0	251.0	251	63.63636363636363	7445.0
20211005-MA-CEB1W_S72_L001_R2_001	78.76427132303559	52.0	251.0	251	36.36363636363637	7445.0
20211005-MA-CES2F_S74_L001_R1_001	86.07194623797602	52.0	251.0	251	63.63636363636363	7589.0
20211005-MA-CES2F_S74_L001_R2_001	78.57425220714191	52.0	251.0	251	36.36363636363637	7589.0
20211005-MA-CES2P_S61_L001_R1_001	85.12265892904247	52.0	251.0	251	63.63636363636363	7582.0
20211005-MA-CES2P_S61_L001_R2_001	82.57715642310735	53.0	251.0	251	36.36363636363637	7582.0
20211005-MA-CES2W_S7_L001_R1_001	83.78947368421052	52.0	251.0	251	63.63636363636363	5700.0
20211005-MA-CES2W_S7_L001_R2_001	80.57894736842105	53.0	251.0	251	36.36363636363637	5700.0
20211005-MA-CWB1F_S14_L001_R1_001	81.69657974940739	52.0	251.0	251	63.63636363636363	5906.0
20211005-MA-CWB1F_S14_L001_R2_001	75.02539790044023	53.0	251.0	251	36.36363636363637	5906.0
20211005-MA-CWB1P_S50_L001_R1_001	79.44963838419474	53.0	251.0	251	63.63636363636363	5669.0
20211005-MA-CWB1P_S50_L001_R2_001	71.63520903157523	53.0	251.0	251	36.36363636363637	5669.0
20211005-MA-CWB1W_S38_L001_R1_001	79.48117807684805	52.0	251.0	251	63.63636363636363	5127.0
20211005-MA-CWB1W_S38_L001_R2_001	71.83538131460892	53.0	251.0	251	36.36363636363637	5127.0
20211005-MA-CWS1F_S73_L001_R1_001	84.09002211525953	52.0	251.0	251	63.63636363636363	7687.0
20211005-MA-CWS1F_S73_L001_R2_001	75.11382854169378	53.0	251.0	251	36.36363636363637	7687.0
20211005-MA-CWS1P_S37_L001_R1_001	80.51354203306366	51.0	251.0	251	63.63636363636363	5686.0
20211005-MA-CWS1P_S37_L001_R2_001	73.95357017235315	52.0	251.0	251	36.36363636363637	5686.0
20211005-MA-CWS1W_S2_L001_R1_001	80.71551559211785	52.0	251.0	251	63.63636363636363	5227.0
20211005-MA-CWS1W_S2_L001_R2_001	74.61258848287737	53.0	251.0	251	36.36363636363637	5227.0
20211005-MA-MBB1F_S4_L001_R1_001	85.81283352856957	51.0	251.0	251	63.63636363636363	7683.0
20211005-MA-MBB1F_S4_L001_R2_001	82.10334504750749	52.0	251.0	251	36.36363636363637	7683.0
20211005-MA-MBB1P_S85_L001_R1_001	86.9531326122966	51.0	251.0	251	63.63636363636363	10263.0
20211005-MA-MBB1P_S85_L001_R2_001	83.51359251680795	52.0	251.0	251	36.36363636363637	10263.0
20211005-MA-MBB1W_S56_L001_R1_001	87.53039587588756	52.0	251.0	251	63.63636363636363	10281.0
20211005-MA-MBB1W_S56_L001_R2_001	85.19599260772299	52.0	251.0	251	36.36363636363637	10281.0
20211005-MA-MBS1F_S48_L001_R1_001	85.74048601558918	52.0	251.0	251	63.63636363636363	6543.0
20211005-MA-MBS1F_S48_L001_R2_001	81.3999694329818	52.0	251.0	251	36.36363636363637	6543.0
20211005-MA-MBS1P_S26_L001_R1_001	83.59187589956821	51.0	251.0	251	63.63636363636363	6253.0
20211005-MA-MBS1P_S26_L001_R2_001	80.66528066528066	52.0	251.0	251	36.36363636363637	6253.0
20211005-MA-MBS1W_S60_L001_R1_001	86.32489190858554	51.0	251.0	251	63.63636363636363	8095.0
20211005-MA-MBS1W_S60_L001_R2_001	82.29771463866584	52.0	251.0	251	36.36363636363637	8095.0
20211005-MA-SCB1F_S51_L001_R1_001	88.99432936002778	51.0	251.0	251	63.63636363636363	8641.0
20211005-MA-SCB1F_S51_L001_R2_001	86.7260733711376	52.0	251.0	251	36.36363636363637	8641.0
20211005-MA-SCB1P_S27_L001_R1_001	86.77650429799426	51.0	251.0	251	63.63636363636363	6980.0
20211005-MA-SCB1P_S27_L001_R2_001	83.5243553008596	52.0	251.0	251	36.36363636363637	6980.0
20211005-MA-SCB1W_S95_L001_R1_001	81.17729176361098	51.0	251.0	251	63.63636363636363	8596.0
20211005-MA-SCB1W_S95_L001_R2_001	76.52396463471382	52.0	251.0	251	36.36363636363637	8596.0
20211005-MA-SCS2F_S63_L001_R1_001	88.86529528865296	51.0	251.0	251	63.63636363636363	7535.0
20211005-MA-SCS2F_S63_L001_R2_001	85.99867285998673	52.0	251.0	251	36.36363636363637	7535.0
20211005-MA-SCS2P_S25_L001_R1_001	87.58802816901408	50.0	251.0	251	63.63636363636363	6816.0
20211005-MA-SCS2P_S25_L001_R2_001	85.5193661971831	51.0	251.0	251	36.36363636363637	6816.0
20211005-MA-SCS2W_S75_L001_R1_001	88.52793258121517	51.0	251.0	251	63.63636363636363	7357.0
20211005-MA-SCS2W_S75_L001_R2_001	81.21516922658692	52.0	251.0	251	36.36363636363637	7357.0
3um-Control_S24_L001_R1_001	96.88061753198689	51.0	251.0	251	63.63636363636363	9457.0
3um-Control_S24_L001_R2_001	94.33224066828804	52.0	251.0	251	36.36363636363637	9457.0
CJ-V08-P_S52_L001_R1_001	83.17890235210264	48.0	251.0	251	63.63636363636363	7015.0
CJ-V08-P_S52_L001_R2_001	79.23022095509623	49.0	251.0	251	36.36363636363637	7015.0
DNA-Ext-Control_S12_L001_R1_001	95.81760531481201	52.0	251.0	251	63.63636363636363	6623.0
DNA-Ext-Control_S12_L001_R2_001	93.76415521666918	52.0	251.0	251	36.36363636363637	6623.0
MockZymoPos_S84_L001_R1_001	93.75559534467322	54.0	251.0	251	63.63636363636363	8936.0
MockZymoPos_S84_L001_R2_001	86.55998209489704	54.0	251.0	251	36.36363636363637	8936.0
WaterControl_S96_L001_R1_001	97.42790335151987	51.0	251.0	251	63.63636363636363	10264.0
WaterControl_S96_L001_R2_001	95.06040530007795	52.0	251.0	251	36.36363636363637	10264.0
