Sample	Unique Reads	Duplicate Reads
20210615-MA-ABS1P_S29_L001_R1_001	1064.0	5768.0
20210615-MA-ABS1P_S29_L001_R2_001	1286.0	5546.0
20210615-MA-ABS1W_S10_L001_R1_001	712.0	4290.0
20210615-MA-ABS1W_S10_L001_R2_001	889.0	4113.0
20210615-MA-CEB1F_S91_L001_R1_001	959.0	6601.0
20210615-MA-CEB1F_S91_L001_R2_001	1268.0	6292.0
20210615-MA-CEB1P_S21_L001_R1_001	856.0	4716.0
20210615-MA-CEB1P_S21_L001_R2_001	1081.0	4491.0
20210615-MA-CEB1W_S59_L001_R1_001	975.0	5866.0
20210615-MA-CEB1W_S59_L001_R2_001	1220.0	5621.0
20210615-MA-CES1F_S57_L001_R1_001	950.0	6227.0
20210615-MA-CES1F_S57_L001_R2_001	1216.0	5961.0
20210615-MA-CES1P_S40_L001_R1_001	1025.0	5151.0
20210615-MA-CES1P_S40_L001_R2_001	1327.0	4849.0
20210615-MA-CES1W_S22_L001_R1_001	858.0	5146.0
20210615-MA-CES1W_S22_L001_R2_001	1081.0	4923.0
20210615-MA-CWB1F_S9_L001_R1_001	850.0	4694.0
20210615-MA-CWB1F_S9_L001_R2_001	1098.0	4446.0
20210615-MA-CWB1P_S80_L001_R1_001	1243.0	7759.0
20210615-MA-CWB1P_S80_L001_R2_001	1856.0	7146.0
20210615-MA-CWB1W_S35_L001_R1_001	939.0	5482.0
20210615-MA-CWB1W_S35_L001_R2_001	1220.0	5201.0
20210615-MA-CWS1F_S81_L001_R1_001	961.0	6047.0
20210615-MA-CWS1F_S81_L001_R2_001	1564.0	5444.0
20210615-MA-CWS1P_S66_L001_R1_001	870.0	4871.0
20210615-MA-CWS1P_S66_L001_R2_001	1110.0	4631.0
20210615-MA-CWS1W_S82_L001_R1_001	1068.0	6713.0
20210615-MA-CWS1W_S82_L001_R2_001	1612.0	6169.0
20210615-MA-MBB1F_S69_L001_R1_001	796.0	6241.0
20210615-MA-MBB1F_S69_L001_R2_001	1048.0	5989.0
20210615-MA-MBB1P_S90_L001_R1_001	853.0	4982.0
20210615-MA-MBB1P_S90_L001_R2_001	1016.0	4819.0
20210615-MA-MBB1W_S71_L001_R1_001	809.0	5510.0
20210615-MA-MBB1W_S71_L001_R2_001	1043.0	5276.0
20210615-MA-MBS1F_S23_L001_R1_001	763.0	5698.0
20210615-MA-MBS1F_S23_L001_R2_001	1039.0	5422.0
20210615-MA-MBS1P_S89_L001_R1_001	984.0	6112.0
20210615-MA-MBS1P_S89_L001_R2_001	1152.0	5944.0
20210615-MA-MBS1W_S83_L001_R1_001	972.0	6878.0
20210615-MA-MBS1W_S83_L001_R2_001	1611.0	6239.0
20210615-MA-SCB2F_S86_L001_R1_001	8.0	2.0
20210615-MA-SCB2F_S86_L001_R2_001	9.0	1.0
20210615-MA-SCB2P_S76_L001_R1_001	1213.0	5807.0
20210615-MA-SCB2P_S76_L001_R2_001	1811.0	5209.0
20210615-MA-SCB2W_S20_L001_R1_001	784.0	5402.0
20210615-MA-SCB2W_S20_L001_R2_001	1034.0	5152.0
20210615-MA-SCS2F_S19_L001_R1_001	584.0	4240.0
20210615-MA-SCS2F_S19_L001_R2_001	827.0	3997.0
20210615-MA-SCS2P_S1_L001_R1_001	821.0	9551.0
20210615-MA-SCS2P_S1_L001_R2_001	1085.0	9287.0
20210615-MA-SCS2W_S43_L001_R1_001	706.0	5145.0
20210615-MA-SCS2W_S43_L001_R2_001	970.0	4881.0
20211005-MA-ABB2F_S3_L001_R1_001	942.0	5542.0
20211005-MA-ABB2F_S3_L001_R2_001	1174.0	5310.0
20211005-MA-ABB2P_S49_L001_R1_001	1435.0	7280.0
20211005-MA-ABB2P_S49_L001_R2_001	1731.0	6984.0
20211005-MA-ABB2W_S64_L001_R1_001	1007.0	6723.0
20211005-MA-ABB2W_S64_L001_R2_001	1284.0	6446.0
20211005-MA-ABS1F_S15_L001_R1_001	899.0	4787.0
20211005-MA-ABS1F_S15_L001_R2_001	1015.0	4671.0
20211005-MA-ABS1P_S13_L001_R1_001	1065.0	5175.0
20211005-MA-ABS1P_S13_L001_R2_001	1212.0	5028.0
20211005-MA-ABS1W_S16_L001_R1_001	952.0	5427.0
20211005-MA-ABS1W_S16_L001_R2_001	1114.0	5265.0
20211005-MA-CEB1F_S39_L001_R1_001	991.0	4491.0
20211005-MA-CEB1F_S39_L001_R2_001	1193.0	4289.0
20211005-MA-CEB1P_S62_L001_R1_001	1316.0	5990.0
20211005-MA-CEB1P_S62_L001_R2_001	1561.0	5745.0
20211005-MA-CEB1W_S72_L001_R1_001	1228.0	6217.0
20211005-MA-CEB1W_S72_L001_R2_001	1582.0	5863.0
20211005-MA-CES2F_S74_L001_R1_001	1057.0	6532.0
20211005-MA-CES2F_S74_L001_R2_001	1626.0	5963.0
20211005-MA-CES2P_S61_L001_R1_001	1128.0	6454.0
20211005-MA-CES2P_S61_L001_R2_001	1321.0	6261.0
20211005-MA-CES2W_S7_L001_R1_001	924.0	4776.0
20211005-MA-CES2W_S7_L001_R2_001	1107.0	4593.0
20211005-MA-CWB1F_S14_L001_R1_001	1081.0	4825.0
20211005-MA-CWB1F_S14_L001_R2_001	1475.0	4431.0
20211005-MA-CWB1P_S50_L001_R1_001	1165.0	4504.0
20211005-MA-CWB1P_S50_L001_R2_001	1608.0	4061.0
20211005-MA-CWB1W_S38_L001_R1_001	1052.0	4075.0
20211005-MA-CWB1W_S38_L001_R2_001	1445.0	3682.0
20211005-MA-CWS1F_S73_L001_R1_001	1223.0	6464.0
20211005-MA-CWS1F_S73_L001_R2_001	1913.0	5774.0
20211005-MA-CWS1P_S37_L001_R1_001	1109.0	4577.0
20211005-MA-CWS1P_S37_L001_R2_001	1481.0	4205.0
20211005-MA-CWS1W_S2_L001_R1_001	1008.0	4219.0
20211005-MA-CWS1W_S2_L001_R2_001	1327.0	3900.0
20211005-MA-MBB1F_S4_L001_R1_001	1090.0	6593.0
20211005-MA-MBB1F_S4_L001_R2_001	1375.0	6308.0
20211005-MA-MBB1P_S85_L001_R1_001	1339.0	8924.0
20211005-MA-MBB1P_S85_L001_R2_001	1692.0	8571.0
20211005-MA-MBB1W_S56_L001_R1_001	1282.0	8999.0
20211005-MA-MBB1W_S56_L001_R2_001	1522.0	8759.0
20211005-MA-MBS1F_S48_L001_R1_001	933.0	5610.0
20211005-MA-MBS1F_S48_L001_R2_001	1218.0	5325.0
20211005-MA-MBS1P_S26_L001_R1_001	1026.0	5227.0
20211005-MA-MBS1P_S26_L001_R2_001	1209.0	5044.0
20211005-MA-MBS1W_S60_L001_R1_001	1107.0	6988.0
20211005-MA-MBS1W_S60_L001_R2_001	1433.0	6662.0
20211005-MA-SCB1F_S51_L001_R1_001	951.0	7690.0
20211005-MA-SCB1F_S51_L001_R2_001	1147.0	7494.0
20211005-MA-SCB1P_S27_L001_R1_001	924.0	6056.0
20211005-MA-SCB1P_S27_L001_R2_001	1150.0	5830.0
20211005-MA-SCB1W_S95_L001_R1_001	1618.0	6978.0
20211005-MA-SCB1W_S95_L001_R2_001	2018.0	6578.0
20211005-MA-SCS2F_S63_L001_R1_001	839.0	6696.0
20211005-MA-SCS2F_S63_L001_R2_001	1055.0	6480.0
20211005-MA-SCS2P_S25_L001_R1_001	847.0	5969.0
20211005-MA-SCS2P_S25_L001_R2_001	987.0	5829.0
20211005-MA-SCS2W_S75_L001_R1_001	845.0	6512.0
20211005-MA-SCS2W_S75_L001_R2_001	1382.0	5975.0
3um-Control_S24_L001_R1_001	295.0	9162.0
3um-Control_S24_L001_R2_001	536.0	8921.0
CJ-V08-P_S52_L001_R1_001	1180.0	5835.0
CJ-V08-P_S52_L001_R2_001	1457.0	5558.0
DNA-Ext-Control_S12_L001_R1_001	277.0	6346.0
DNA-Ext-Control_S12_L001_R2_001	414.0	6209.0
MockZymoPos_S84_L001_R1_001	558.0	8378.0
MockZymoPos_S84_L001_R2_001	1202.0	7734.0
WaterControl_S96_L001_R1_001	264.0	10000.0
WaterControl_S96_L001_R2_001	507.0	9757.0
