Sample	Filename	File type	Encoding	Total Sequences	Total Bases	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	median_sequence_length	basic_statistics	per_base_sequence_quality	per_tile_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content
20210602-MA-SCB1P_S5_L001_R2_001	20210602-MA-SCB1P_S5_L001_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	4560.0	1.1 Mbp	0.0	251.0	50.0	22.280701754385966	251.0	251	pass	pass	pass	pass	fail	fail	pass	pass	fail	fail	pass
20210602-MA-SCB1W_S32_L001_R1_001	20210602-MA-SCB1W_S32_L001_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	6737.0	1.6 Mbp	0.0	251.0	51.0	13.448122309633368	251.0	251	pass	fail	fail	pass	fail	fail	fail	pass	fail	fail	pass
20210602-MA-SCB1W_S32_L001_R2_001	20210602-MA-SCB1W_S32_L001_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	6737.0	1.6 Mbp	0.0	251.0	52.0	16.891791598634406	251.0	251	pass	pass	pass	pass	fail	fail	pass	pass	fail	fail	pass
20210602-MA-SCS1F_S53_L001_R1_001	20210602-MA-SCS1F_S53_L001_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	9353.0	2.3 Mbp	0.0	251.0	51.0	11.301186784988774	251.0	251	pass	fail	fail	pass	fail	fail	fail	pass	fail	fail	pass
20210602-MA-SCS1F_S53_L001_R2_001	20210602-MA-SCS1F_S53_L001_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	9353.0	2.3 Mbp	0.0	251.0	52.0	14.797391211376029	251.0	251	pass	pass	pass	pass	fail	fail	pass	pass	fail	fail	pass
20210602-MA-SCS1P_S88_L001_R1_001	20210602-MA-SCS1P_S88_L001_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	8035.0	2 Mbp	0.0	251.0	50.0	15.332918481642812	251.0	251	pass	fail	fail	pass	fail	fail	fail	pass	fail	fail	pass
20210602-MA-SCS1P_S88_L001_R2_001	20210602-MA-SCS1P_S88_L001_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	8035.0	2 Mbp	0.0	251.0	51.0	19.22837585563161	251.0	251	pass	pass	pass	pass	fail	fail	pass	pass	fail	fail	pass
20210602-MA-SCS1W_S42_L001_R1_001	20210602-MA-SCS1W_S42_L001_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	4738.0	1.1 Mbp	0.0	251.0	51.0	13.761080624736174	251.0	251	pass	fail	fail	pass	fail	fail	fail	pass	fail	fail	pass
20210602-MA-SCS1W_S42_L001_R2_001	20210602-MA-SCS1W_S42_L001_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	4738.0	1.1 Mbp	0.0	251.0	52.0	18.024482904178978	251.0	251	pass	pass	pass	pass	fail	fail	pass	pass	fail	fail	pass
20210615-MA-ABB2F_S55_L001_R1_001	20210615-MA-ABB2F_S55_L001_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	3373.0	846.6 kbp	0.0	251.0	52.0	7.233916394900682	251.0	251	pass	fail	fail	pass	fail	fail	fail	pass	fail	fail	pass
20210615-MA-ABB2F_S55_L001_R2_001	20210615-MA-ABB2F_S55_L001_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	3373.0	846.6 kbp	0.0	251.0	52.0	9.398161873702936	251.0	251	pass	pass	pass	pass	fail	fail	pass	pass	fail	fail	pass
20210615-MA-ABB2P_S17_L001_R1_001	20210615-MA-ABB2P_S17_L001_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	5050.0	1.2 Mbp	0.0	251.0	52.0	18.356435643564357	251.0	251	pass	fail	fail	pass	fail	fail	fail	pass	fail	fail	pass
20210615-MA-ABB2P_S17_L001_R2_001	20210615-MA-ABB2P_S17_L001_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	5050.0	1.2 Mbp	0.0	251.0	53.0	21.504950495049506	251.0	251	pass	pass	pass	pass	fail	fail	pass	pass	fail	fail	pass
20210615-MA-ABB2W_S92_L001_R1_001	20210615-MA-ABB2W_S92_L001_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	10271.0	2.5 Mbp	0.0	251.0	52.0	12.170187907701296	251.0	251	pass	fail	fail	pass	fail	fail	fail	pass	fail	fail	pass
20210615-MA-ABB2W_S92_L001_R2_001	20210615-MA-ABB2W_S92_L001_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	10271.0	2.5 Mbp	0.0	251.0	52.0	14.925518450004867	251.0	251	pass	pass	pass	pass	fail	fail	pass	pass	fail	fail	pass
20210615-MA-ABS1F_S33_L001_R1_001	20210615-MA-ABS1F_S33_L001_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	5524.0	1.3 Mbp	0.0	251.0	51.0	14.844315713251266	251.0	251	pass	fail	fail	pass	fail	fail	fail	pass	fail	fail	pass
20210615-MA-ABS1F_S33_L001_R2_001	20210615-MA-ABS1F_S33_L001_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	5524.0	1.3 Mbp	0.0	251.0	52.0	17.595944967414916	251.0	251	pass	pass	pass	pass	fail	fail	pass	pass	fail	fail	pass
20210615-MA-ABS1P_S29_L001_R1_001	20210615-MA-ABS1P_S29_L001_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	6832.0	1.7 Mbp	0.0	251.0	52.0	15.573770491803279	251.0	251	pass	fail	fail	pass	fail	fail	fail	pass	fail	fail	pass
20210615-MA-ABS1P_S29_L001_R2_001	20210615-MA-ABS1P_S29_L001_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	6832.0	1.7 Mbp	0.0	251.0	53.0	18.8231850117096	251.0	251	pass	pass	pass	pass	fail	fail	pass	pass	fail	fail	pass
20210615-MA-ABS1W_S10_L001_R1_001	20210615-MA-ABS1W_S10_L001_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	5002.0	1.2 Mbp	0.0	251.0	51.0	14.234306277489003	251.0	251	pass	fail	fail	pass	fail	fail	fail	pass	fail	fail	pass
20210615-MA-ABS1W_S10_L001_R2_001	20210615-MA-ABS1W_S10_L001_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	5002.0	1.2 Mbp	0.0	251.0	52.0	17.772890843662534	251.0	251	pass	pass	pass	pass	fail	fail	pass	pass	fail	fail	pass
20210615-MA-CEB1F_S91_L001_R1_001	20210615-MA-CEB1F_S91_L001_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	7560.0	1.8 Mbp	0.0	251.0	52.0	12.685185185185185	251.0	251	pass	fail	fail	pass	fail	fail	fail	pass	fail	fail	pass
20210615-MA-CEB1F_S91_L001_R2_001	20210615-MA-CEB1F_S91_L001_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	7560.0	1.8 Mbp	0.0	251.0	52.0	16.772486772486772	251.0	251	pass	pass	pass	pass	fail	fail	pass	pass	fail	fail	pass
20210615-MA-CEB1P_S21_L001_R1_001	20210615-MA-CEB1P_S21_L001_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	5572.0	1.3 Mbp	0.0	251.0	52.0	15.362526920315863	251.0	251	pass	fail	fail	pass	fail	fail	fail	pass	fail	fail	pass
20210615-MA-CEB1P_S21_L001_R2_001	20210615-MA-CEB1P_S21_L001_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	5572.0	1.3 Mbp	0.0	251.0	53.0	19.40057430007179	251.0	251	pass	pass	pass	pass	fail	fail	pass	pass	fail	fail	pass
20210615-MA-CEB1W_S59_L001_R1_001	20210615-MA-CEB1W_S59_L001_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	6841.0	1.7 Mbp	0.0	251.0	51.0	14.252302294986114	251.0	251	pass	fail	fail	pass	fail	fail	fail	pass	fail	fail	pass
20210615-MA-CEB1W_S59_L001_R2_001	20210615-MA-CEB1W_S59_L001_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	6841.0	1.7 Mbp	0.0	251.0	52.0	17.833650051162113	251.0	251	pass	pass	pass	pass	fail	fail	pass	pass	fail	fail	pass
20210615-MA-CES1F_S57_L001_R1_001	20210615-MA-CES1F_S57_L001_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	7177.0	1.8 Mbp	0.0	251.0	52.0	13.236728438066045	251.0	251	pass	fail	fail	pass	fail	fail	fail	pass	fail	fail	pass
20210615-MA-CES1F_S57_L001_R2_001	20210615-MA-CES1F_S57_L001_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	7177.0	1.8 Mbp	0.0	251.0	53.0	16.929079002368677	251.0	251	pass	pass	pass	pass	fail	fail	pass	pass	fail	fail	pass
20210615-MA-CES1P_S40_L001_R1_001	20210615-MA-CES1P_S40_L001_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	6176.0	1.5 Mbp	0.0	251.0	51.0	16.596502590673577	251.0	251	pass	fail	fail	pass	fail	fail	fail	pass	fail	fail	pass
20210615-MA-CES1P_S40_L001_R2_001	20210615-MA-CES1P_S40_L001_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	6176.0	1.5 Mbp	0.0	251.0	52.0	21.470207253886013	251.0	251	pass	pass	pass	pass	fail	fail	pass	pass	fail	fail	pass
20210615-MA-CES1W_S22_L001_R1_001	20210615-MA-CES1W_S22_L001_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	6004.0	1.5 Mbp	0.0	251.0	51.0	14.29047301798801	251.0	251	pass	fail	fail	pass	fail	fail	fail	pass	fail	fail	pass
20210615-MA-CES1W_S22_L001_R2_001	20210615-MA-CES1W_S22_L001_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	6004.0	1.5 Mbp	0.0	251.0	52.0	18.00466355762825	251.0	251	pass	pass	pass	pass	fail	fail	pass	pass	fail	fail	pass
20210615-MA-CWB1F_S9_L001_R1_001	20210615-MA-CWB1F_S9_L001_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	5544.0	1.3 Mbp	0.0	251.0	52.0	15.313852813852813	251.0	251	pass	fail	fail	pass	fail	fail	fail	pass	fail	fail	pass
20210615-MA-CWB1F_S9_L001_R2_001	20210615-MA-CWB1F_S9_L001_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	5544.0	1.3 Mbp	0.0	251.0	52.0	19.805194805194805	251.0	251	pass	pass	pass	pass	fail	fail	pass	pass	fail	fail	pass
20210615-MA-CWB1P_S80_L001_R1_001	20210615-MA-CWB1P_S80_L001_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	9002.0	2.2 Mbp	0.0	251.0	52.0	13.808042657187292	251.0	251	pass	fail	fail	pass	fail	fail	fail	pass	fail	fail	pass
20210615-MA-CWB1P_S80_L001_R2_001	20210615-MA-CWB1P_S80_L001_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	9002.0	2.2 Mbp	0.0	251.0	53.0	20.617640524327925	251.0	251	pass	pass	pass	pass	fail	fail	pass	pass	fail	fail	pass
20210615-MA-CWB1W_S35_L001_R1_001	20210615-MA-CWB1W_S35_L001_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	6421.0	1.6 Mbp	0.0	251.0	52.0	14.623890359757047	251.0	251	pass	fail	fail	pass	fail	fail	fail	pass	fail	fail	pass
