Sample	1.0	2.0	3.0	4.0	5.0	6.0	7.0	8.0	9.0	>10	>50	>100	>500	>1k	>5k	>10k+
20210602-MA-CWS1W_S70_L001_R1_001										18.852115626309175	8.699902248289346	22.27342549923195	22.468928920541824	0.0	0.0	0.0
20210602-MA-CWS1W_S70_L001_R2_001										21.240050272308338	12.121212121212121	19.536377600893733	13.405948889819857	0.0	0.0	0.0
20210602-MA-MBB1F_S68_L001_R1_001										16.79719146637861	14.636780988387793	18.957601944369433	0.0	34.06697272481772	0.0	0.0
20210602-MA-MBB1F_S68_L001_R2_001										13.583580880367268	7.480421280043208	27.545233594382935	0.0	30.745341614906835	0.0	0.0
20210602-MA-MBB1P_S6_L001_R1_001										23.918776371308017	0.0	13.080168776371309	37.76371308016878	0.0	0.0	0.0
20210602-MA-MBB1P_S6_L001_R2_001										14.978902953586498	13.212025316455698	8.095991561181433	0.0	35.86497890295359	0.0	0.0
20210602-MA-MBB1W_S34_L001_R1_001										19.750853928069116	12.115732368896925	16.013662849105888	32.5497287522604	0.0	0.0	0.0
20210602-MA-MBB1W_S34_L001_R2_001										15.12959614225437	6.248744223427768	24.050632911392405	0.0	30.500301386377338	0.0	0.0
20210602-MA-MBS1F_S67_L001_R1_001										14.334623399821375	17.683834474545996	20.24412027389104	14.28996725215838	16.641857695742782	0.0	0.0
20210602-MA-MBS1F_S67_L001_R2_001										15.09377791009229	6.475141411134267	29.38374516225067	0.0	28.31199761833879	0.0	0.0
20210602-MA-MBS1P_S30_L001_R1_001										29.279045643153527	15.612033195020746	2.904564315352697	29.66804979253112	0.0	0.0	0.0
20210602-MA-MBS1P_S30_L001_R2_001										22.821576763485478	14.937759336099585	11.74792531120332	0.0	26.86721991701245	0.0	0.0
20210602-MA-MBS1W_S46_L001_R1_001										16.026970954356848	17.911479944674966	16.424619640387274	30.37690179806362	0.0	0.0	0.0
20210602-MA-MBS1W_S46_L001_R2_001										15.369986168741356	5.7745504840940525	25.778008298755182	0.0	29.132088520055326	0.0	0.0
20210602-MA-SCB1F_S54_L001_R1_001										20.339552866027905	12.99378046730543	46.52882837451672	0.0	0.0	0.0	0.0
20210602-MA-SCB1F_S54_L001_R2_001										15.649689023365271	10.842158345940495	37.72062531517902	12.086064884854597	0.0	0.0	0.0
20210602-MA-SCB1P_S5_L001_R1_001										21.929824561403507	16.00877192982456	33.114035087719294	0.0	0.0	0.0	0.0
20210602-MA-SCB1P_S5_L001_R2_001										21.228070175438596	11.206140350877194	33.881578947368425	0.0	0.0	0.0	0.0
20210602-MA-SCB1W_S32_L001_R1_001										16.728514175449014	20.053436247587946	43.01617930829747	0.0	0.0	0.0	0.0
20210602-MA-SCB1W_S32_L001_R2_001										14.828558705655336	11.681757458809559	30.132106278759093	19.74172480332492	0.0	0.0	0.0
20210602-MA-SCS1F_S53_L001_R1_001										12.659039880252326	12.84079974339784	39.76264300224527	18.411204960975088	0.0	0.0	0.0
20210602-MA-SCS1F_S53_L001_R2_001										14.722548914786698	8.371645461349301	35.11172885705121	6.586122099861007	14.808082968031647	0.0	0.0
20210602-MA-SCS1P_S88_L001_R1_001										17.06285003111388	10.802738021157436	5.67517112632234	41.070317361543246	0.0	0.0	0.0
20210602-MA-SCS1P_S88_L001_R2_001										19.203484754200375	9.346608587429994	6.8948350964530185	18.182949595519602	18.618543870566274	0.0	0.0
20210602-MA-SCS1W_S42_L001_R1_001										24.5040101308569	13.4233853946813	16.040523427606583	23.828619670747152	0.0	0.0	0.0
20210602-MA-SCS1W_S42_L001_R2_001										16.167159138877164	12.346981848881384	25.24271844660194	19.33305192064162	0.0	0.0	0.0
20210615-MA-ABB2F_S55_L001_R1_001										29.054254372961758	0.0	24.103172250222354	37.59264749481174	0.0	0.0	0.0
20210615-MA-ABB2F_S55_L001_R2_001										23.00622591165135	7.382152386599467	21.434924399644235	0.0	36.46605395790098	0.0	0.0
20210615-MA-ABB2P_S17_L001_R1_001										20.13861386138614	9.96039603960396	7.267326732673267	29.603960396039604	0.0	0.0	0.0
20210615-MA-ABB2P_S17_L001_R2_001										21.22772277227723	7.168316831683168	12.217821782178218	0.0	27.524752475247528	0.0	0.0
20210615-MA-ABB2W_S92_L001_R1_001										16.47356635186447	10.086651737902832	21.89660208353617	0.0	32.801090448836526	0.0	0.0
20210615-MA-ABB2W_S92_L001_R2_001										15.139713757180411	8.869632947132704	18.187128809268817	5.977996300262876	29.627105442508032	0.0	0.0
20210615-MA-ABS1F_S33_L001_R1_001										23.950036205648082	10.734974656046344	19.170890658942795	23.117306299782765	0.0	0.0	0.0
20210615-MA-ABS1F_S33_L001_R2_001										21.16220130340333	4.761042722664736	26.430123099203474	0.0	21.81390296886314	0.0	0.0
20210615-MA-ABS1P_S29_L001_R1_001										23.38992974238876	9.879976580796253	10.17271662763466	0.0	29.97658079625293	0.0	0.0
20210615-MA-ABS1P_S29_L001_R2_001										23.46311475409836	8.401639344262295	12.338992974238876	0.0	27.166276346604217	0.0	0.0
20210615-MA-ABS1W_S10_L001_R1_001										22.830867652938824	13.29468212714914	41.443422630947616	0.0	0.0	0.0	0.0
20210615-MA-ABS1W_S10_L001_R2_001										20.431827269092363	3.838464614154338	31.16753298680528	18.152738904438227	0.0	0.0	0.0
20210615-MA-CEB1F_S91_L001_R1_001										18.796296296296298	10.277777777777777	27.16931216931217	23.386243386243386	0.0	0.0	0.0
20210615-MA-CEB1F_S91_L001_R2_001										16.30952380952381	9.708994708994709	20.304232804232804	8.068783068783068	21.23015873015873	0.0	0.0
20210615-MA-CEB1P_S21_L001_R1_001										28.98420674802584	10.821966977745873	9.42211055276382	27.09978463747308	0.0	0.0	0.0
20210615-MA-CEB1P_S21_L001_R2_001										21.500358937544867	13.54989231873654	9.816941852117731	0.0	25.843503230437904	0.0	0.0
20210615-MA-CEB1W_S59_L001_R1_001										20.201724894021343	13.813769916678847	21.41499780733811	21.721970472153192	0.0	0.0	0.0
20210615-MA-CEB1W_S59_L001_R2_001										18.900745505043123	5.277006285630756	20.377137845344247	8.142084490571554	20.289431369682795	0.0	0.0
20210615-MA-CES1F_S57_L001_R1_001										17.792949700431933	15.173470809530446	23.017974083879057	23.67284380660443	0.0	0.0	0.0
20210615-MA-CES1F_S57_L001_R2_001										17.15201337606242	10.561515953741116	26.097255120523894	0.0	21.582834053225582	0.0	0.0
20210615-MA-CES1P_S40_L001_R1_001										30.537564766839374	10.443652849740932	7.852979274611399	23.137953367875646	0.0	0.0	0.0
20210615-MA-CES1P_S40_L001_R2_001										23.170336787564764	11.900906735751295	11.415155440414509	0.0	20.466321243523318	0.0	0.0
20210615-MA-CES1W_S22_L001_R1_001										22.901399067288473	11.592271818787475	21.802131912058627	20.88607594936709	0.0	0.0	0.0
20210615-MA-CES1W_S22_L001_R2_001										20.019986675549635	7.744836775483012	26.39906728847435	0.0	19.570286475682877	0.0	0.0
20210615-MA-CWB1F_S9_L001_R1_001										17.243867243867246	10.966810966810966	47.474747474747474	0.0	0.0	0.0	0.0
20210615-MA-CWB1F_S9_L001_R2_001										18.68686868686869	8.333333333333332	29.383116883116884	14.303751803751805	0.0	0.0	0.0
20210615-MA-CWB1P_S80_L001_R1_001										16.785158853588094	10.097756054210176	29.57120639857809	21.35081093090424	0.0	0.0	0.0
20210615-MA-CWB1P_S80_L001_R2_001										16.35192179515663	8.031548544767828	26.416351921795155	0.0	19.084647856031992	0.0	0.0
20210615-MA-CWB1W_S35_L001_R1_001										18.75097336863417	6.463167730883041	29.387945802834448	20.806727923999375	0.0	0.0	0.0
20210615-MA-CWB1W_S35_L001_R2_001										18.330478118673106	11.836162591496652	22.660021803457404	0.0	19.35835539635571	0.0	0.0
20210615-MA-CWS1F_S81_L001_R1_001										21.31849315068493	12.756849315068495	26.783675799086758	17.03767123287671	0.0	0.0	0.0
20210615-MA-CWS1F_S81_L001_R2_001										17.636986301369863	12.371575342465754	23.416095890410958	0.0	14.64041095890411	0.0	0.0
20210615-MA-CWS1P_S66_L001_R1_001										18.533356558090926	14.196133077861	19.735237763455842	23.410555652325378	0.0	0.0	0.0
20210615-MA-CWS1P_S66_L001_R2_001										19.5610520815189	8.970562619752656	20.34488765023515	0.0	22.139000174185682	0.0	0.0
20210615-MA-CWS1W_S82_L001_R1_001										19.25202416141884	8.5207556869297	27.759928029816216	23.069014265518568	0.0	0.0	0.0
20210615-MA-CWS1W_S82_L001_R2_001										17.594139570749263	10.320010281454826	14.509703122991905	6.477316540290451	20.935612389153064	0.0	0.0
20210615-MA-MBB1F_S69_L001_R1_001										21.912746909194258	9.30794372601961	21.31590166264033	13.912178485149923	16.597982094642603	0.0	0.0
20210615-MA-MBB1F_S69_L001_R2_001										18.03325280659372	7.034247548671309	25.96276822509592	0.0	28.16541139690209	0.0	0.0
20210615-MA-MBB1P_S90_L001_R1_001										21.11396743787489	7.952013710368466	13.110539845758353	16.435304198800342	18.063410454155957	0.0	0.0
20210615-MA-MBB1P_S90_L001_R2_001										18.748928877463584	3.7532133676092547	19.074550128534703	0.0	32.2879177377892	0.0	0.0
20210615-MA-MBB1W_S71_L001_R1_001										20.09811679063143	11.235955056179774	14.527615128976104	0.0	34.02437094476974	0.0	0.0
20210615-MA-MBB1W_S71_L001_R2_001										16.885583161892704	7.975945561006488	19.59170754866276	0.0	31.58727646779554	0.0	0.0
20210615-MA-MBS1F_S23_L001_R1_001										19.532580095960377	13.248723107878039	12.939173502553784	0.0	35.31960996749729	0.0	0.0
20210615-MA-MBS1F_S23_L001_R2_001										19.176598049837487	4.039622349481505	20.693391115926328	0.0	33.04442036836403	0.0	0.0
20210615-MA-MBS1P_S89_L001_R1_001										20.546786922209694	8.807779030439685	17.700112739571587	0.0	31.468432919954903	0.0	0.0
20210615-MA-MBS1P_S89_L001_R2_001										21.321871476888386	0.8032694475760991	15.093010146561442	9.160090191657272	29.67869222096956	0.0	0.0
20210615-MA-MBS1W_S83_L001_R1_001										18.624203821656053	13.171974522292992	17.949044585987263	0.0	31.75796178343949	0.0	0.0
20210615-MA-MBS1W_S83_L001_R2_001										17.439490445859875	6.038216560509555	20.94267515923567	0.0	27.910828025477706	0.0	0.0
20210615-MA-SCB2F_S86_L001_R1_001										0.0	0.0	0.0	0.0	0.0	0.0	0.0
20210615-MA-SCB2F_S86_L001_R2_001										0.0	0.0	0.0	0.0	0.0	0.0	0.0
20210615-MA-SCB2P_S76_L001_R1_001										17.236467236467238	11.196581196581198	35.61253561253561	7.54985754985755	0.0	0.0	0.0
20210615-MA-SCB2P_S76_L001_R2_001										19.97150997150997	8.005698005698006	33.547008547008545	0.0	0.0	0.0	0.0
20210615-MA-SCB2W_S20_L001_R1_001										16.39185257032008	11.461364371160686	53.71807306821855	0.0	0.0	0.0	0.0
20210615-MA-SCB2W_S20_L001_R2_001										15.939217588102167	10.701584222437763	41.65858389912706	8.341416100872939	0.0	0.0	0.0
20210615-MA-SCS2F_S19_L001_R1_001										18.325041459369817	11.028192371475953	52.96434494195689	0.0	0.0	0.0	0.0
20210615-MA-SCS2F_S19_L001_R2_001										18.88474295190713	7.172470978441129	38.80597014925373	10.509950248756219	0.0	0.0	0.0
20210615-MA-SCS2P_S1_L001_R1_001										19.658696490551485	20.304666409564213	15.107983031237948	0.0	33.349402236791356	0.0	0.0
20210615-MA-SCS2P_S1_L001_R2_001										22.290782876976476	10.142691862707288	12.784419591207097	7.7130736598534515	34.03393752410335	0.0	0.0
20210615-MA-SCS2W_S43_L001_R1_001										16.185267475645187	15.040164074517175	51.649290719535124	0.0	0.0	0.0	0.0
20210615-MA-SCS2W_S43_L001_R2_001										16.13399418902752	10.271748419073663	30.422150059818836	19.60348658349	0.0	0.0	0.0
20211005-MA-ABB2F_S3_L001_R1_001										23.627390499691547	6.1844540407156074	17.02652683528686	13.756940160394818	16.116594694632944	0.0	0.0
20211005-MA-ABB2F_S3_L001_R2_001										18.13695249845774	9.916718075262184	18.260333127698953	0.0	26.03331276989513	0.0	0.0
20211005-MA-ABB2P_S49_L001_R1_001										19.311531841652325	10.464716006884682	14.056224899598394	0.0	28.181296615031552	0.0	0.0
20211005-MA-ABB2P_S49_L001_R2_001										20.206540447504302	8.640275387263339	7.940332759609868	7.401032702237521	26.08146873207114	0.0	0.0
20211005-MA-ABB2W_S64_L001_R1_001										22.716688227684347	7.347994825355757	16.248382923673997	0.0	31.513583441138422	0.0	0.0
20211005-MA-ABB2W_S64_L001_R2_001										16.584734799482536	9.702457956015524	20.54333764553687	0.0	27.98188874514877	0.0	0.0
20211005-MA-ABS1F_S15_L001_R1_001										23.02145620823074	7.931762223003869	15.406260991909953	28.631727048892014	0.0	0.0	0.0
20211005-MA-ABS1F_S15_L001_R2_001										16.74287724234963	13.665142455153006	17.674991206472036	0.0	25.378121702427016	0.0	0.0
20211005-MA-ABS1P_S13_L001_R1_001										22.003205128205128	5.336538461538462	12.275641025641026	15.352564102564104	16.36217948717949	0.0	0.0
20211005-MA-ABS1P_S13_L001_R2_001										18.525641025641026	10.208333333333334	12.003205128205128	0.0	29.19871794871795	0.0	0.0
20211005-MA-ABS1W_S16_L001_R1_001										23.248158018498195	7.556043266969745	15.080733657313058	30.443643204263992	0.0	0.0	0.0
20211005-MA-ABS1W_S16_L001_R2_001										16.711083241887444	11.475152845273554	17.918168992005015	0.0	27.794325129330616	0.0	0.0
20211005-MA-CEB1F_S39_L001_R1_001										29.204669828529735	10.653046333454943	12.586647209047793	20.138635534476467	0.0	0.0	0.0
20211005-MA-CEB1F_S39_L001_R2_001										20.81357168916454	9.376140094855892	22.856621670923023	16.800437796424664	0.0	0.0	0.0
20211005-MA-CEB1P_S62_L001_R1_001										23.41910758280865	11.483712017519847	12.236517930468109	24.15822611552149	0.0	0.0	0.0
20211005-MA-CEB1P_S62_L001_R2_001										20.243635368190528	10.42978373939228	15.507801806734193	0.0	21.516561730084863	0.0	0.0
20211005-MA-CEB1W_S72_L001_R1_001										21.47750167897918	15.030221625251846	19.892545332437876	17.35392881128274	0.0	0.0	0.0
20211005-MA-CEB1W_S72_L001_R2_001										18.844862323707186	7.6964405641370055	29.348556077904636	0.0	13.498992612491605	0.0	0.0
20211005-MA-CES2F_S74_L001_R1_001										19.19884042693372	7.115561997628146	22.796152325734617	0.0	27.65845302411385	0.0	0.0
20211005-MA-CES2F_S74_L001_R2_001										17.591250494136247	5.613387798128871	21.87376465937541	0.0	24.58821979180393	0.0	0.0
20211005-MA-CES2P_S61_L001_R1_001										20.878396201529938	3.4951200211026117	12.068055921920337	0.0	37.89237668161435	0.0	0.0
20211005-MA-CES2P_S61_L001_R2_001										18.10867844895806	5.855974676866262	11.804273278818254	0.0	37.74729622790821	0.0	0.0
20211005-MA-CES2W_S7_L001_R1_001										23.07017543859649	8.105263157894736	11.24561403508772	30.473684210526315	0.0	0.0	0.0
20211005-MA-CES2W_S7_L001_R2_001										18.49122807017544	9.456140350877194	12.578947368421053	0.0	29.912280701754383	0.0	0.0
20211005-MA-CWB1F_S14_L001_R1_001										20.09820521503556	4.402302742973248	45.56383338977311	0.0	0.0	0.0	0.0
20211005-MA-CWB1F_S14_L001_R2_001										23.17981713511683	9.058584490348798	21.368100237047074	10.447003047748053	0.0	0.0	0.0
20211005-MA-CWB1P_S50_L001_R1_001										25.101428823425646	6.4738049038631145	36.143940730287525	0.0	0.0	0.0	0.0
20211005-MA-CWB1P_S50_L001_R2_001										25.930499206209205	5.926971247133533	14.60575057329335	11.024872111483507	0.0	0.0	0.0
20211005-MA-CWB1W_S38_L001_R1_001										23.561536961185876	8.660035108250439	35.55685586112736	0.0	0.0	0.0	0.0
20211005-MA-CWB1W_S38_L001_R2_001										24.614784474351474	5.773356738833626	18.21728106104935	10.298420128730251	0.0	0.0	0.0
20211005-MA-CWS1F_S73_L001_R1_001										22.21933133862365	2.9790555483283465	49.29101079745024	0.0	0.0	0.0	0.0
20211005-MA-CWS1F_S73_L001_R2_001										23.611291791336022	5.411734096526604	16.37830102770912	18.889033433068818	0.0	0.0	0.0
20211005-MA-CWS1P_S37_L001_R1_001										20.295462539570877	13.40133661625044	34.101301442138585	0.0	0.0	0.0	0.0
20211005-MA-CWS1P_S37_L001_R2_001										18.343299331691874	9.057333802321493	17.446359479423144	13.577207175518819	0.0	0.0	0.0
20211005-MA-CWS1W_S2_L001_R1_001										20.872393342261336	7.2125502200114795	41.01779223263822	0.0	0.0	0.0	0.0
20211005-MA-CWS1W_S2_L001_R2_001										26.286588865506026	6.485555768127033	15.821695044958867	12.110197053759327	0.0	0.0	0.0
20211005-MA-MBB1F_S4_L001_R1_001										19.849017310946245	14.668749186515683	15.775087856306131	12.338930105427567	14.291292463881296	0.0	0.0
20211005-MA-MBB1F_S4_L001_R2_001										15.462709878953534	8.121827411167512	26.018482363660027	0.0	23.883899518417284	0.0	0.0
20211005-MA-MBB1P_S85_L001_R1_001										20.315697164571763	4.355451622332652	3.498002533372308	12.433011789924974	36.763129689174704	0.0	0.0
20211005-MA-MBB1P_S85_L001_R2_001										15.775114488940856	9.860664523043944	5.2031569716457176	0.0	43.96375328851213	0.0	0.0
20211005-MA-MBB1W_S56_L001_R1_001										19.47281392860617	14.833187433129073	15.231981324773855	0.0	31.47553739908569	0.0	0.0
20211005-MA-MBB1W_S56_L001_R2_001										14.687287228868787	5.699834646435171	22.711798463184515	5.223227312518238	28.82015368154849	0.0	0.0
20211005-MA-MBS1F_S48_L001_R1_001										20.907840440165064	8.619899128839982	13.617606602475929	0.0	33.914106678893475	0.0	0.0
20211005-MA-MBS1F_S48_L001_R2_001										12.868714656885222	13.296652911508483	16.29222069387131	0.0	29.665291150848233	0.0	0.0
20211005-MA-MBS1P_S26_L001_R1_001										23.284823284823286	3.0225491763953305	11.930273468735008	0.0	34.54341915880377	0.0	0.0
20211005-MA-MBS1P_S26_L001_R2_001										19.95841995841996	7.324484247561171	11.082680313449544	0.0	31.280985127138973	0.0	0.0
20211005-MA-MBS1W_S60_L001_R1_001										17.331686226065475	16.590487955528104	15.552810376775788	0.0	28.449660284126004	0.0	0.0
20211005-MA-MBS1W_S60_L001_R2_001										13.699814700432366	9.129092032118592	19.59234095120445	6.213712168004942	25.027794935145153	0.0	0.0
20211005-MA-SCB1F_S51_L001_R1_001										17.2549473440574	8.78370558963083	32.83184816572156	0.0	25.633607221386413	0.0	0.0
20211005-MA-SCB1F_S51_L001_R2_001										14.755236662423329	6.781622497396135	35.21583150098368	0.0	24.649924777224857	0.0	0.0
20211005-MA-SCB1P_S27_L001_R1_001										19.126074498567334	16.53295128939828	12.664756446991404	0.0	30.673352435530088	0.0	0.0
20211005-MA-SCB1P_S27_L001_R2_001										14.355300859598854	8.595988538681947	23.667621776504298	12.593123209169054	15.916905444126076	0.0	0.0
20211005-MA-SCB1W_S95_L001_R1_001										24.813866914844112	8.666821777570963	37.401116798510934	0.0	0.0	0.0	0.0
20211005-MA-SCB1W_S95_L001_R2_001										18.78780828292229	15.949278734295023	16.356444858073523	13.994881340158214	0.0	0.0	0.0
20211005-MA-SCS2F_S63_L001_R1_001										17.120106171201062	12.329130723291307	25.34837425348374	0.0	29.475779694757797	0.0	0.0
20211005-MA-SCS2F_S63_L001_R2_001										15.500995355009954	4.100862641008626	32.93961512939615	12.753815527538157	15.766423357664234	0.0	0.0
20211005-MA-SCS2P_S25_L001_R1_001										21.566901408450704	12.338615023474178	20.525234741784036	22.241784037558684	0.0	0.0	0.0
20211005-MA-SCS2P_S25_L001_R2_001										21.5962441314554	7.394366197183098	27.699530516431924	20.642605633802816	0.0	0.0	0.0
20211005-MA-SCS2W_S75_L001_R1_001										18.553758325404377	9.6642653255403	25.812151692265868	0.0	28.625798559195324	0.0	0.0
20211005-MA-SCS2W_S75_L001_R2_001										14.041049340763898	3.9282316161478863	30.311268179964664	25.36359929319016	0.0	0.0	0.0
3um-Control_S24_L001_R1_001										2.8338796658559797	3.584646293750661	2.7915829544252935	0.0	85.05868668711007	0.0	0.0
3um-Control_S24_L001_R2_001										4.779528391667548	2.749286242994607	8.417045574706567	0.0	0.0	76.17637728666597	0.0
CJ-V08-P_S52_L001_R1_001										17.733428367783322	6.628652886671419	17.67640769779045	0.0	30.263720598717036	0.0	0.0
CJ-V08-P_S52_L001_R2_001										17.933000712758375	7.198859586600142	14.982181040627227	7.89736279401283	21.767640769779046	0.0	0.0
DNA-Ext-Control_S12_L001_R1_001										6.915295183451608	5.465800996527253	3.623735467310886	0.0	76.80809300921034	0.0	0.0
DNA-Ext-Control_S12_L001_R2_001										5.058130756454779	3.7143288539936585	7.9269213347425636	0.0	74.86033519553072	0.0	0.0
MockZymoPos_S84_L001_R1_001										8.247538048343777	0.0	26.499552372426145	32.58728737690242	24.037600716204118	0.0	0.0
MockZymoPos_S84_L001_R2_001										5.315577439570277	2.8424350940017904	3.681736794986571	57.69919427036705	12.958818263205012	0.0	0.0
WaterControl_S96_L001_R1_001										3.156664068589244	0.5455962587685114	0.0	0.0	91.26071706936867	0.0	0.0
WaterControl_S96_L001_R2_001										3.5756040530007795	2.8838659392049886	0.0	0.0	0.0	86.29189399844115	0.0
